event_type,event_timestamp,example_number,prompt_tokens,completion_tokens,total_tokens,llm_name,tool_name,function_name,function_id,parent_function_name,parent_function_id,UUID,framework,NOVA-Event-ID,NOVA-Requests-Remaining-In-Event,NOVA-Time-To-Next-Event,NOVA-Time-To-Event-End,NOVA-Predicted-OSL,NOVA-Time-To-Session-End
FUNCTION_START,1757849966.947456,0,0,0,0,,,<workflow>,59143c46-aa01-4513-8f4c-564c17d017eb,root,root,59143c46-aa01-4513-8f4c-564c17d017eb,,<workflow>,1.0,305.12213706970215,305.12213706970215,,2172.4390983581543
LLM_START,1757849967.252578,0,0,0,0,nvidia/llama-3.1-nemotron-70b-instruct,,<workflow>,59143c46-aa01-4513-8f4c-564c17d017eb,root,root,a6edfbad-2c04-4019-b638-17f0a5de025b,langchain,<workflow>,0.0,-1.0,-1.0,54.0,1867.3169612884521
LLM_END,1757849969.116859,0,596,54,650,nvidia/llama-3.1-nemotron-70b-instruct,,<workflow>,59143c46-aa01-4513-8f4c-564c17d017eb,root,root,a6edfbad-2c04-4019-b638-17f0a5de025b,langchain,<workflow>,0.0,-1.0,-1.0,,3.036022186279297
FUNCTION_END,1757849969.119895,0,0,0,0,,,<workflow>,59143c46-aa01-4513-8f4c-564c17d017eb,root,root,59143c46-aa01-4513-8f4c-564c17d017eb,,<workflow>,0.0,-1.0,-1.0,,0.0
FUNCTION_START,1757849969.123859,1,0,0,0,,,<workflow>,64d4d375-9a62-429f-b306-826636853a7d,root,root,64d4d375-9a62-429f-b306-826636853a7d,,<workflow>,1.0,236.3572120666504,236.3572120666504,,1748.3792304992676
LLM_START,1757849969.3602161,1,0,0,0,nvidia/llama-3.1-nemotron-70b-instruct,,<workflow>,64d4d375-9a62-429f-b306-826636853a7d,root,root,97d43738-7286-4813-8820-e2a87da14449,langchain,<workflow>,0.0,-1.0,-1.0,38.0,1512.0220184326172
LLM_END,1757849970.869345,1,399,38,437,nvidia/llama-3.1-nemotron-70b-instruct,,<workflow>,64d4d375-9a62-429f-b306-826636853a7d,root,root,97d43738-7286-4813-8820-e2a87da14449,langchain,<workflow>,0.0,-1.0,-1.0,,2.893209457397461
FUNCTION_END,1757849970.8722382,1,0,0,0,,,<workflow>,64d4d375-9a62-429f-b306-826636853a7d,root,root,64d4d375-9a62-429f-b306-826636853a7d,,<workflow>,0.0,-1.0,-1.0,,0.0
FUNCTION_START,1757849970.873478,2,0,0,0,,,<workflow>,036a83d3-59e1-466d-a71f-9c1299eadb2f,root,root,036a83d3-59e1-466d-a71f-9c1299eadb2f,,<workflow>,1.0,239.0608787536621,239.0608787536621,,1580.4152488708496
LLM_START,1757849971.1125388,2,0,0,0,nvidia/llama-3.1-nemotron-70b-instruct,,<workflow>,036a83d3-59e1-466d-a71f-9c1299eadb2f,root,root,ccfa7b3a-882a-4c2b-84ce-4edd36f193f1,langchain,<workflow>,0.0,-1.0,-1.0,33.0,1341.3543701171875
LLM_END,1757849972.451154,2,372,33,405,nvidia/llama-3.1-nemotron-70b-instruct,,<workflow>,036a83d3-59e1-466d-a71f-9c1299eadb2f,root,root,ccfa7b3a-882a-4c2b-84ce-4edd36f193f1,langchain,<workflow>,0.0,-1.0,-1.0,,2.7391910552978516
FUNCTION_END,1757849972.4538932,2,0,0,0,,,<workflow>,036a83d3-59e1-466d-a71f-9c1299eadb2f,root,root,036a83d3-59e1-466d-a71f-9c1299eadb2f,,<workflow>,0.0,-1.0,-1.0,,0.0
FUNCTION_START,1757849972.455482,3,0,0,0,,,<workflow>,8caa1421-4757-4368-8b62-57fa2a66ad01,root,root,8caa1421-4757-4368-8b62-57fa2a66ad01,,<workflow>,1.0,256.4671039581299,256.4671039581299,,2722.3410606384277
LLM_START,1757849972.711949,3,0,0,0,nvidia/llama-3.1-nemotron-70b-instruct,,<workflow>,8caa1421-4757-4368-8b62-57fa2a66ad01,root,root,712450a2-671e-4bfa-af40-aa676eb9f491,langchain,<workflow>,0.0,-1.0,-1.0,79.0,2465.873956680298
LLM_END,1757849975.1760519,3,701,79,780,nvidia/llama-3.1-nemotron-70b-instruct,,<workflow>,8caa1421-4757-4368-8b62-57fa2a66ad01,root,root,712450a2-671e-4bfa-af40-aa676eb9f491,langchain,<workflow>,0.0,-1.0,-1.0,,1.7712116241455078
FUNCTION_END,1757849975.177823,3,0,0,0,,,<workflow>,8caa1421-4757-4368-8b62-57fa2a66ad01,root,root,8caa1421-4757-4368-8b62-57fa2a66ad01,,<workflow>,0.0,-1.0,-1.0,,0.0
FUNCTION_START,1757849975.1787698,4,0,0,0,,,<workflow>,7d5e507d-0c3e-48ec-b359-9bb0e6dbaded,root,root,7d5e507d-0c3e-48ec-b359-9bb0e6dbaded,,<workflow>,1.0,242.7992820739746,242.7992820739746,,1964.8661613464355
LLM_START,1757849975.421569,4,0,0,0,nvidia/llama-3.1-nemotron-70b-instruct,,<workflow>,7d5e507d-0c3e-48ec-b359-9bb0e6dbaded,root,root,50a87dfd-127b-4341-97e7-b2e4d6565ad7,langchain,<workflow>,0.0,-1.0,-1.0,50.0,1722.066879272461
LLM_END,1757849977.1416152,4,420,50,470,nvidia/llama-3.1-nemotron-70b-instruct,,<workflow>,7d5e507d-0c3e-48ec-b359-9bb0e6dbaded,root,root,50a87dfd-127b-4341-97e7-b2e4d6565ad7,langchain,<workflow>,0.0,-1.0,-1.0,,2.0208358764648438
FUNCTION_END,1757849977.143636,4,0,0,0,,,<workflow>,7d5e507d-0c3e-48ec-b359-9bb0e6dbaded,root,root,7d5e507d-0c3e-48ec-b359-9bb0e6dbaded,,<workflow>,0.0,-1.0,-1.0,,0.0
FUNCTION_START,1757849977.1446881,5,0,0,0,,,<workflow>,7528caf7-431a-4190-b556-f339be343bd7,root,root,7528caf7-431a-4190-b556-f339be343bd7,,<workflow>,1.0,235.6569766998291,235.6569766998291,,1887.5060081481934
LLM_START,1757849977.380345,5,0,0,0,nvidia/llama-3.1-nemotron-70b-instruct,,<workflow>,7528caf7-431a-4190-b556-f339be343bd7,root,root,0b1d40b7-3d82-4520-9c2a-8465ddb5b0e8,langchain,<workflow>,0.0,-1.0,-1.0,47.0,1651.8490314483643
LLM_END,1757849979.029143,5,421,47,468,nvidia/llama-3.1-nemotron-70b-instruct,,<workflow>,7528caf7-431a-4190-b556-f339be343bd7,root,root,0b1d40b7-3d82-4520-9c2a-8465ddb5b0e8,langchain,<workflow>,0.0,-1.0,-1.0,,3.0510425567626953
FUNCTION_END,1757849979.0321941,5,0,0,0,,,<workflow>,7528caf7-431a-4190-b556-f339be343bd7,root,root,7528caf7-431a-4190-b556-f339be343bd7,,<workflow>,0.0,-1.0,-1.0,,0.0
FUNCTION_START,1757849979.033432,6,0,0,0,,,<workflow>,d324cdec-0d5c-4e4d-9d6a-1c7e5864229f,root,root,d324cdec-0d5c-4e4d-9d6a-1c7e5864229f,,<workflow>,1.0,248.92807006835938,248.92807006835938,,1488.265037536621
LLM_START,1757849979.28236,6,0,0,0,nvidia/llama-3.1-nemotron-70b-instruct,,<workflow>,d324cdec-0d5c-4e4d-9d6a-1c7e5864229f,root,root,e161cf91-e0db-4067-a27b-6b155bcb936a,langchain,<workflow>,0.0,-1.0,-1.0,24.0,1239.3369674682617
LLM_END,1757849980.519097,6,356,24,380,nvidia/llama-3.1-nemotron-70b-instruct,,<workflow>,d324cdec-0d5c-4e4d-9d6a-1c7e5864229f,root,root,e161cf91-e0db-4067-a27b-6b155bcb936a,langchain,<workflow>,0.0,-1.0,-1.0,,2.599954605102539
FUNCTION_END,1757849980.521697,6,0,0,0,,,<workflow>,d324cdec-0d5c-4e4d-9d6a-1c7e5864229f,root,root,d324cdec-0d5c-4e4d-9d6a-1c7e5864229f,,<workflow>,0.0,-1.0,-1.0,,0.0
FUNCTION_START,1757849980.523225,7,0,0,0,,,<workflow>,1fee0fb1-ae73-4b02-a6b5-d95184261a1a,root,root,1fee0fb1-ae73-4b02-a6b5-d95184261a1a,,<workflow>,1.0,243.57891082763672,243.57891082763672,,1549.7150421142578
LLM_START,1757849980.766804,7,0,0,0,nvidia/llama-3.1-nemotron-70b-instruct,,<workflow>,1fee0fb1-ae73-4b02-a6b5-d95184261a1a,root,root,9e196571-5f6a-4d31-9c61-7d224d372339,langchain,<workflow>,0.0,-1.0,-1.0,23.0,1306.136131286621
LLM_END,1757849982.070464,7,356,23,379,nvidia/llama-3.1-nemotron-70b-instruct,,<workflow>,1fee0fb1-ae73-4b02-a6b5-d95184261a1a,root,root,9e196571-5f6a-4d31-9c61-7d224d372339,langchain,<workflow>,0.0,-1.0,-1.0,,2.476215362548828
FUNCTION_END,1757849982.07294,7,0,0,0,,,<workflow>,1fee0fb1-ae73-4b02-a6b5-d95184261a1a,root,root,1fee0fb1-ae73-4b02-a6b5-d95184261a1a,,<workflow>,0.0,-1.0,-1.0,,0.0
FUNCTION_START,1757849982.074631,8,0,0,0,,,<workflow>,093048e6-34c3-429a-818e-bf1584328f93,root,root,093048e6-34c3-429a-818e-bf1584328f93,,<workflow>,1.0,244.71592903137207,244.71592903137207,,1385.5299949645996
LLM_START,1757849982.319347,8,0,0,0,nvidia/llama-3.1-nemotron-70b-instruct,,<workflow>,093048e6-34c3-429a-818e-bf1584328f93,root,root,d6a7ff80-8a3b-41c2-a572-ea1b42d04fbe,langchain,<workflow>,0.0,-1.0,-1.0,23.0,1140.8140659332275
LLM_END,1757849983.457477,8,358,23,381,nvidia/llama-3.1-nemotron-70b-instruct,,<workflow>,093048e6-34c3-429a-818e-bf1584328f93,root,root,d6a7ff80-8a3b-41c2-a572-ea1b42d04fbe,langchain,<workflow>,0.0,-1.0,-1.0,,2.683877944946289
FUNCTION_END,1757849983.460161,8,0,0,0,,,<workflow>,093048e6-34c3-429a-818e-bf1584328f93,root,root,093048e6-34c3-429a-818e-bf1584328f93,,<workflow>,0.0,-1.0,-1.0,,0.0
FUNCTION_START,1757849983.461239,9,0,0,0,,,<workflow>,f732d09f-9549-40b3-b986-62e8b8a2ec9b,root,root,f732d09f-9549-40b3-b986-62e8b8a2ec9b,,<workflow>,1.0,247.04384803771973,247.04384803771973,,1345.0989723205566
LLM_START,1757849983.708283,9,0,0,0,nvidia/llama-3.1-nemotron-70b-instruct,,<workflow>,f732d09f-9549-40b3-b986-62e8b8a2ec9b,root,root,bc2da199-8a4e-43eb-bef8-5684d42c57bf,langchain,<workflow>,0.0,-1.0,-1.0,20.0,1098.055124282837
LLM_END,1757849984.8032598,9,355,20,375,nvidia/llama-3.1-nemotron-70b-instruct,,<workflow>,f732d09f-9549-40b3-b986-62e8b8a2ec9b,root,root,bc2da199-8a4e-43eb-bef8-5684d42c57bf,langchain,<workflow>,0.0,-1.0,-1.0,,3.0782222747802734
FUNCTION_END,1757849984.806338,9,0,0,0,,,<workflow>,f732d09f-9549-40b3-b986-62e8b8a2ec9b,root,root,f732d09f-9549-40b3-b986-62e8b8a2ec9b,,<workflow>,0.0,-1.0,-1.0,,0.0
FUNCTION_START,1757849984.807991,10,0,0,0,,,<workflow>,8a48c3ec-68e7-4958-b746-afbb6171d3b1,root,root,8a48c3ec-68e7-4958-b746-afbb6171d3b1,,<workflow>,1.0,248.0149269104004,248.0149269104004,,1901.1950492858887
